From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points,Competition
Albania,Belgium,20,16,24,22,24,25,14,0,0,2015Grand
Albania,Czech Republic,21,15,25,23,16,22,22,0,0,2015Grand
Albania,The Netherlands,22,14,23,24,21,24,24,0,0,2015Grand
Albania,Azerbaijan,19,12,11,21,11,13,19,0,0,2015Grand
Albania,Hungary,8,13,9,14,9,10,10,1,1,2015Grand
Albania,Italy,4,10,3,7,2,3,2,8,10,2015Grand
Albania,Israel,10,2,18,4,12,8,17,3,0,2015Grand
Albania,Bulgaria,11,3,6,13,6,7,3,4,8,2015Grand
Albania,Sweden,16,8,15,6,15,11,8,0,3,2016Grand
Albania,Germany,18,17,20,11,17,18,15,0,0,2016Grand
Albania,France,3,9,1,9,1,2,11,10,0,2016Grand
Albania,Poland,14,7,13,20,22,14,6,0,5,2016Grand
Albania,Australia,1,1,2,1,3,1,1,12,12,2016Grand
Albania,Cyprus,25,11,21,25,20,23,12,0,0,2016Grand
Albania,Serbia,15,26,12,15,19,19,26,0,0,2016Grand
Albania,Lithuania,13,18,22,17,23,20,7,0,4,2016Grand
Albania,Croatia,24,19,16,18,18,21,20,0,0,2016Grand
Albania,Russia,7,4,7,5,7,4,4,7,7,2016Grand
Albania,Spain,9,5,4,12,4,5,23,6,0,2016Grand
Albania,Latvia,23,20,17,8,13,17,21,0,0,2016Grand
Albania,Ukraine,17,25,8,2,8,12,5,0,6,2016Grand
Albania,Malta,5,21,5,16,5,9,16,2,0,2016Grand
Albania,Georgia,26,22,26,26,26,26,25,0,0,2016Grand
Albania,Austria,6,23,19,19,14,16,13,0,0,2016Grand
Albania,United Kingdom,2,6,10,10,10,6,18,5,0,2016Grand
Albania,Armenia,12,24,14,3,25,15,9,0,2,2016Grand
Armenia,Belgium,12,6,9,6,6,7,17,4,0,2016Grand
Armenia,Czech Republic,13,14,12,8,9,10,18,1,0,2016Grand
Armenia,The Netherlands,11,12,14,16,10,11,11,0,0,2016Grand
Armenia,Azerbaijan,25,25,25,19,25,25,25,0,0,2016Grand
Armenia,Hungary,23,22,10,22,11,18,8,0,3,2016Grand
Armenia,Italy,14,13,19,25,20,20,14,0,0,2016Grand
Armenia,Israel,20,24,22,17,24,24,24,0,0,2016Grand
Armenia,Bulgaria,4,4,5,5,4,4,15,7,0,2016Grand
Armenia,Sweden,21,8,18,21,18,17,9,0,2,2016Grand
Armenia,Germany,22,23,20,18,15,21,19,0,0,2016Grand
Armenia,France,1,1,1,1,1,1,4,12,7,2016Grand
Armenia,Poland,24,10,24,24,22,23,10,0,1,2016Grand
Armenia,Australia,6,9,6,9,8,6,12,5,0,2016Grand
Armenia,Cyprus,10,3,4,3,5,5,5,6,6,2016Grand
Armenia,Serbia,9,21,11,11,14,12,23,0,0,2016Grand
Armenia,Lithuania,16,15,16,10,19,14,21,0,0,2016Grand
Armenia,Croatia,15,19,17,13,17,15,22,0,0,2016Grand
Armenia,Russia,5,17,7,7,16,9,1,2,12,2016Grand
Armenia,Spain,8,7,8,12,7,8,13,3,0,2016Grand
Armenia,Latvia,17,11,13,15,12,13,16,0,0,2016Grand
Armenia,Ukraine,7,20,21,14,23,16,2,0,10,2016Grand
Armenia,Malta,3,5,3,4,3,3,6,8,5,2016Grand
Armenia,Georgia,2,2,2,2,2,2,3,10,8,2016Grand
Armenia,Austria,18,16,23,20,21,22,7,0,4,2016Grand
Armenia,United Kingdom,19,18,15,23,13,19,20,0,0,2016Grand
Australia,Belgium,1,2,1,1,1,1,1,12,12,2016Grand
Australia,Czech Republic,18,23,4,14,22,16,25,0,0,2016Grand
Australia,The Netherlands,10,14,11,4,10,8,16,3,0,2016Grand
Australia,Azerbaijan,7,20,15,15,11,12,22,0,0,2016Grand
Australia,Hungary,22,6,10,24,23,19,19,0,0,2016Grand
Australia,Italy,11,16,24,16,16,17,23,0,0,2016Grand
Australia,Israel,4,3,3,2,2,2,14,10,0,2016Grand
Australia,Bulgaria,2,1,7,3,3,3,2,8,10,2016Grand
Australia,Sweden,16,21,22,17,25,23,20,0,0,2016Grand
Australia,Germany,19,12,16,12,17,14,21,0,0,2016Grand
Australia,France,5,7,13,7,5,5,4,6,7,2016Grand
Australia,Poland,25,19,14,25,12,22,15,0,0,2016Grand
Australia,Cyprus,23,18,6,20,21,20,13,0,0,2016Grand
Australia,Serbia,8,17,21,13,7,11,17,0,0,2016Grand
Australia,Lithuania,6,4,5,5,4,4,10,7,1,2016Grand
Australia,Croatia,17,8,8,19,13,10,18,1,0,2016Grand
Australia,Russia,24,13,17,22,8,18,6,0,5,2016Grand
Australia,Spain,3,5,18,6,6,6,9,5,2,2016Grand
Australia,Latvia,14,9,25,8,24,15,11,0,0,2016Grand
Australia,Ukraine,13,10,9,9,9,9,3,2,8,2016Grand
Australia,Malta,15,24,19,18,14,21,5,0,6,2016Grand
Australia,Georgia,21,25,20,21,18,25,24,0,0,2016Grand
Australia,Austria,20,15,23,23,20,24,8,0,3,2016Grand
Australia,United Kingdom,9,11,2,11,15,7,7,4,4,2016Grand
Australia,Armenia,12,22,12,10,19,13,12,0,0,2016Grand
Austria,Belgium,1,12,10,6,9,6,14,5,0,2016Grand
Austria,Czech Republic,12,7,7,9,7,7,23,4,0,2016Grand
Austria,The Netherlands,9,11,11,7,16,11,5,0,6,2016Grand
