"","country","Bias","bias_fixed"
"1","Poland",519.8,6.25344412220739
"2","Serbia",118.3,4.77322377098434
"3","Romania",93,4.53259949315326
"4","San Marino",73.3,4.29456060889261
"5","Spain",43.3,3.76815263500844
"6","United Kingdom",39,3.66356164612965
"7","Germany",38.7,3.65583960003574
"8","Armenia",36.8,3.60549784517489
"9","Greece",30.8,3.42751468997953
"10","Italy",28,3.3322045101752
"11","Switzerland",20.4,3.01553490085017
"12","Russia",19.7,2.98061863574394
"13","Lithuania",19.6,2.97552956623647
"14","Albania",17.4,2.85647020622048
"15","Belarus",16.3,2.79116510781272
"16","Hungary",16,2.77258872223978
"17","Estonia",11.3,2.42480272571829
"18","Cyprus",11,2.39789527279837
"19","Finland",8.3,2.11625551480255
"20","France",8,2.07944154167984
"21","Ireland",7.3,1.98787434815435
"22","Iceland",6.6,1.88706964903238
"23","Slovenia",6,1.79175946922805
"24","Sweden",-7,-1.94591014905531
"25","Israel",-12.3,-2.50959926237837
"26","Belgium",-15.3,-2.72785282839839
"27","Australia",-17,-2.83321334405622
"28","Latvia",-17.2,-2.84490938381941
"29","Norway",-22.7,-3.12236492448736
"30","Montenegro",-26.8,-3.28840188751681
"31","Georgia",-46.8,-3.8458832029236
"32","The Netherlands",-62.9,-4.1415461637064
"33","Azerbaijan",-169.7,-5.13403217224018
"34","Malta",-321.3,-5.77237526612181
