"","voter","correlation","significant","p_value"
"1","Albania",0.484361662380893,TRUE,3.03608059050929e-06
"2","Armenia",0.407126255028059,TRUE,2.96498500581673e-06
"3","Australia",0.604527767618114,TRUE,2.16952153816842e-11
"4","Austria",0.355162054140885,TRUE,5.55524351832526e-05
"5","Azerbaijan",0.489100164752138,TRUE,7.82802363087921e-08
"6","Belarus",0.463013174938357,TRUE,6.1402551359741e-08
"7","Belgium",0.420433372165861,TRUE,1.16446417627729e-06
"8","Bosnia & Herzegovina",0.228022441808856,FALSE,0.141389732678897
"9","Bulgaria",0.424183304281215,TRUE,0.00511654901643277
"10","Croatia",0.218624628174799,FALSE,0.164230297929955
"11","Cyprus",0.504637940126379,TRUE,9.84581719405398e-07
"12","Czech Republic",0.317698456732885,TRUE,0.00304821578448572
"13","Denmark",0.581439270321498,TRUE,9.41071294532354e-13
"14","Estonia",0.568833373183016,TRUE,4.49555709608936e-12
"15","F.Y.R. Macedonia",0.237714658709857,TRUE,0.0294537430675588
"16","Finland",0.560224843971793,TRUE,1.32937579300166e-11
"17","France",0.317980768544617,TRUE,0.000285187415105772
"18","Georgia",0.351538367448615,TRUE,0.00328678506585343
"19","Germany",0.434691732271676,TRUE,3.65741013869163e-07
"20","Greece",0.415509520699509,TRUE,1.76110315108742e-06
"21","Hungary",0.485588752754098,TRUE,1.24952915395339e-08
"22","Iceland",0.571728837486045,TRUE,2.70589130674271e-12
"23","Ireland",0.441072602116093,TRUE,2.35035324429504e-07
"24","Israel",0.511851850814134,TRUE,1.23330875077829e-09
"25","Italy",0.213113457701458,TRUE,0.0165776368969178
"26","Latvia",0.562070908846001,TRUE,9.07853557162115e-12
"27","Lithuania",0.524706165627271,TRUE,3.96479783833161e-10
"28","Malta",0.519746960951585,TRUE,6.17733151957167e-10
"29","Moldova",0.46938651024175,TRUE,2.02829145636782e-07
"30","Montenegro",0.236377326116067,FALSE,0.0522974125403394
"31","Norway",0.493426334146523,TRUE,5.79130573174555e-09
"32","Poland",0.545101309772513,TRUE,7.09442551276711e-11
"33","Russia",0.405474142596111,TRUE,3.28012598302096e-06
"34","San Marino",0.460103655073343,TRUE,0.00190711854670847
"35","Serbia",0.471313094631178,TRUE,6.88505834155246e-06
"36","Slovenia",0.375351161755083,TRUE,1.74266361520027e-05
"37","Spain",0.484467189726557,TRUE,9.03145070281603e-09
"38","Sweden",0.498676776544165,TRUE,3.24814896941542e-09
"39","Switzerland",0.28911459149599,TRUE,0.00107527896470576
"40","The Netherlands",0.505228773219514,TRUE,2.17329984236471e-09
"41","Ukraine",0.345430986179371,TRUE,0.00148072427920911
"42","United Kingdom",0.41993549179678,TRUE,9.82905684279492e-07
"43","Portugal",0.528974535454265,TRUE,2.30711572753481e-07
"44","Romania",0.552640740393112,TRUE,1.06619472020455e-07
